年齢,1MAC,0.5MAC,0.2MAC
5,2.23574622,1.11787311,0.447149244
6,2.22194091,1.110970455,0.444388182
7,2.208220845,1.104110422,0.441644169
8,2.194585498,1.097292749,0.4389171
9,2.181034348,1.090517174,0.43620687
10,2.167566873,1.083783437,0.433513375
11,2.154182558,1.077091279,0.430836512
12,2.140880888,1.070440444,0.428176178
13,2.127661353,1.063830677,0.425532271
14,2.114523447,1.057261723,0.422904689
15,2.101466664,1.050733332,0.420293333
16,2.088490505,1.044245252,0.417698101
17,2.075594471,1.037797235,0.415118894
18,2.062778067,1.031389034,0.412555613
19,2.050040803,1.025020401,0.410008161
20,2.037382189,1.018691094,0.407476438
21,2.024801739,1.012400869,0.404960348
22,2.012298971,1.006149485,0.402459794
23,1.999873405,0.999936703,0.399974681
24,1.987524565,0.993762283,0.397504913
25,1.975251977,0.987625988,0.395050395
26,1.963055169,0.981527585,0.392611034
27,1.950933675,0.975466837,0.390186735
28,1.938887028,0.969443514,0.387777406
29,1.926914768,0.963457384,0.385382954
30,1.915016433,0.957508217,0.383003287
31,1.903191569,0.951595784,0.380638314
32,1.891439721,0.94571986,0.378287944
33,1.879760438,0.939880219,0.375952088
34,1.868153273,0.934076636,0.373630655
35,1.85661778,0.92830889,0.371323556
36,1.845153516,0.922576758,0.369030703
37,1.833760042,0.916880021,0.366752008
38,1.82243692,0.91121846,0.364487384
39,1.811183717,0.905591858,0.362236743
40,1.8,0.9,0.36
41,1.78888534,0.89444267,0.357777068
42,1.777839312,0.888919656,0.355567862
43,1.76686149,0.883430745,0.353372298
44,1.755951454,0.877975727,0.351190291
45,1.745108786,0.872554393,0.349021757
46,1.734333069,0.867166535,0.346866614
47,1.723623891,0.861811945,0.344724778
48,1.712980839,0.85649042,0.342596168
49,1.702403506,0.851201753,0.340480701
50,1.691891487,0.845945743,0.338378297
51,1.681444377,0.840722188,0.336288875
52,1.671061775,0.835530888,0.334212355
53,1.660743285,0.830371642,0.332148657
54,1.650488509,0.825244255,0.330097702
55,1.640297055,0.820148527,0.328059411
56,1.630168531,0.815084265,0.326033706
57,1.620102548,0.810051274,0.32402051
58,1.610098721,0.805049361,0.322019744
59,1.600156666,0.800078333,0.320031333
60,1.590276001,0.795138001,0.3180552
61,1.580456348,0.790228174,0.31609127
62,1.570697329,0.785348664,0.314139466
63,1.56099857,0.780499285,0.312199714
64,1.551359699,0.775679849,0.31027194
65,1.541780346,0.770890173,0.308356069
66,1.532260144,0.766130072,0.306452029
67,1.522798727,0.761399364,0.304559745
68,1.513395733,0.756697866,0.302679147
69,1.5040508,0.7520254,0.30081016
70,1.494763571,0.747381786,0.298952714
71,1.485533689,0.742766844,0.297106738
72,1.476360799,0.7381804,0.29527216
73,1.46724455,0.733622275,0.29344891
74,1.458184593,0.729092296,0.291636919
75,1.449180578,0.724590289,0.289836116
76,1.440232162,0.720116081,0.288046432
77,1.431339001,0.715669501,0.2862678
78,1.422500753,0.711250377,0.284500151
79,1.41371708,0.70685854,0.282743416
80,1.404987645,0.702493822,0.280997529
81,1.396312112,0.698156056,0.279262422
82,1.387690148,0.693845074,0.27753803
83,1.379121424,0.689560712,0.275824285
84,1.37060561,0.685302805,0.274121122
85,1.36214238,0.68107119,0.272428476
86,1.353731408,0.676865704,0.270746282
87,1.345372372,0.672686186,0.269074474
88,1.337064952,0.668532476,0.26741299
89,1.328808829,0.664404415,0.265761766
90,1.320603686,0.660301843,0.264120737
91,1.312449208,0.656224604,0.262489842
92,1.304345082,0.652172541,0.260869016
93,1.296290998,0.648145499,0.2592582
94,1.288286646,0.644143323,0.257657329
95,1.28033172,0.64016586,0.256066344
96,1.272425913,0.636212957,0.254485183
97,1.264568924,0.632284462,0.252913785
98,1.25676045,0.628380225,0.25135209
99,1.249000192,0.624500096,0.249800038
100,1.241287852,0.620643926,0.24825757
